Tank no,Repeat,Fw in mg,470,470,470,652,652,652,665,665,665,750,750,750,470,652,665,750,FW in g after normalize to 1000uL (used 200uL to measure),470,652,665,Chl a ug/ml,Chl b ug/ml,Chl a+b ug/ml,Carotenoids ug/ml,Chl a ug/g FW,Chl b ug/g FW,Chl a+b ug/g FW,Carotenoids ug/g FW,Chl a mg/g FW,Chl b mg/g FW,Chl a+b mg/g FW,Carotenoids mg/g FW
23.5,A,0.132,2.389,2.253,2.258,0.817,0.784,0.775,1.323,1.262,1.253,0.073,0.09,0.078,2.3,0.792,1.279333333,0.080333333,0.0000264,2.219666667,0.711666667,1.199,13.52841333,5.939996667,19.46841,7.122865624,512439.899,224999.8737,737439.7727,269805.516,512.439899,224.9998737,737.4397727,269.805516
23.5,B,0.149,2.129,2.456,2.413,0.667,0.777,0.757,1.101,1.283,1.252,0.054,0.064,0.057,2.332666667,0.733666667,1.212,0.058333333,0.0000298,2.274333333,0.675333333,1.153666667,13.10325333,5.394086667,18.49734,7.632632099,439706.4877,181009.6197,620716.1074,256128.5939,439.7064877,181.0096197,620.7161074,256.1285939
23.5,C,0.114,2.115,2.5,2.73,0.776,0.939,1.116,1.284,1.532,1.715,0.05,0.078,0.222,2.448333333,0.943666667,1.510333333,0.116666667,0.0000228,2.331666667,0.827,1.393666667,15.72678667,6.897203333,22.62399,7.158830509,689771.345,302508.9181,992280.2632,313983.7943,689.771345,302.5089181,992.2802632,313.9837943
26,A,0.123,1.887,2.177,2.263,0.63,0.727,0.766,1.049,1.203,1.267,0.048,0.054,0.065,2.109,0.707666667,1.173,0.055666667,0.0000246,2.053333333,0.652,1.117333333,12.70949333,5.153826667,17.86332,6.749643494,516646.0705,209505.1491,726151.2195,274375.7518,516.6460705,209.5051491,726.1512195,274.3757518
26,B,0.145,3.326,3.481,3.467,1.423,1.607,1.597,2.193,2.398,2.389,0.052,0.063,0.067,3.424666667,1.542333333,2.326666667,0.060666667,0.000029,3.364,1.481666667,2.266,24.31545333,15.88553667,40.20099,7.497827523,838463.908,547777.1264,1386241.034,258545.7766,838.463908,547.7771264,1386.241034,258.5457766
26,C,0.135,2.635,3.215,3.284,0.771,1.114,1.17,1.215,1.621,1.672,0.073,0.288,0.339,3.044666667,1.018333333,1.502666667,0.233333333,0.000027,2.811333333,0.785,1.269333333,14.03265333,7.365236667,21.39789,9.11947904,519727.9012,272786.5432,792514.4444,337758.483,519.7279012,272.7865432,792.5144444,337.758483
28,A,0.153,3.353,3.545,3.693,1.484,1.721,2.041,2.284,2.519,2.718,0.053,0.075,0.324,3.530333333,1.748666667,2.507,0.150666667,0.0000306,3.379666667,1.598,2.356333333,24.76021333,18.47104667,43.23126,6.337495298,809157.2985,603628.976,1412786.275,207107.6895,809.1572985,603.628976,1412.786275,207.1076895
28,B,0.148,2.401,2.643,2.755,0.756,0.826,0.939,1.18,1.31,1.412,0.058,0.051,0.146,2.599666667,0.840333333,1.300666667,0.085,0.0000296,2.514666667,0.755333333,1.215666667,13.40709333,7.173926667,20.58102,7.872569057,452942.3423,242362.3874,695304.7297,265965.1708,452.9423423,242.3623874,695.3047297,265.9651708
28,C,0.126,2.439,2.529,3.499,0.9,0.978,1.766,1.469,1.546,2.34,0.055,0.125,0.73,2.822333333,1.214666667,1.785,0.303333333,0.0000252,2.519,0.911333333,1.481666667,16.42565333,8.427486667,24.85314,7.274557396,651811.6402,334424.0741,986235.7143,288672.9125,651.8116402,334.4240741,986.2357143,288.6729125
30,A,0.09,2.991,3.221,3.274,1.164,1.313,1.384,1.879,2.088,2.129,0.062,0.082,0.162,3.162,1.287,2.032,0.102,0.000018,3.06,1.185,1.93,21.415,10.90625,32.32125,8.508477602,1189722.222,605902.7778,1795625,472693.2001,1189.722222,605.9027778,1795.625,472.6932001
30,B,0.141,2.771,3.046,3.215,0.923,1.041,1.196,1.525,1.716,1.862,0.05,0.058,0.198,3.010666667,1.053333333,1.701,0.102,0.0000282,2.908666667,0.951333333,1.599,18.02106667,7.998233333,26.0193,9.229854106,639044.9173,283625.2955,922670.2128,327299.791,639.0449173,283.6252955,922.6702128,327.299791
30,C,0.105,2.578,2.878,3.494,0.874,0.999,1.64,1.473,1.666,2.224,0.058,0.072,0.699,2.983333333,1.171,1.787666667,0.276333333,0.000021,2.707,0.894666667,1.511333333,17.07434667,7.406013333,24.48036,8.605582151,813064.127,352667.3016,1165731.429,409789.6263,813.064127,352.6673016,1165.731429,409.7896263
