Tank,Repeat,Num,Fv/Fm
23.5,A,645,0.645
23.5,B,622,0.622
23.5,C,557,0.557
23.5,D,636,0.636
23.5,E,544,0.544
23.5,F,604,0.604
23.5,G,623,0.623
23.5,H,550,0.55
23.5,I,620,0.62
26,A,448,0.448
26,B,573,0.573
26,C,592,0.592
26,D,517,0.517
26,E,585,0.585
26,F,545,0.545
26,G,421,0.421
26,H,435,0.435
26,I,444,0.444
28,A,607,0.607
28,B,660,0.66
28,C,638,0.638
28,D,478,0.478
28,E,617,0.617
28,F,613,0.613
28,G,643,0.643
28,H,650,0.65
28,I,612,0.612
30,A,601,0.601
30,B,642,0.642
30,C,712,0.712
30,D,690,0.69
30,E,704,0.704
30,F,617,0.617
30,G,587,0.587
30,H,642,0.642
30,I,699,0.699
