tank,plant,leaf,Date,Time,Type,No.,1:F,1:Fm',1:PAR,Fv/Fm,1:ETR
23.5,A,1,24/05/2022,12:00:17,F,50,160,367,963,0.564,228.1
23.5,A,2,24/05/2022,12:02:12,F,51,221,536,963,0.588,237.8
23.5,B,1,24/05/2022,12:04:09,F,52,179,384,963,0.534,216
23.5,B,2,24/05/2022,12:04:42,F,53,122,230,963,0.47,190.1
23.5,C,1,24/05/2022,12:05:24,F,54,205,557,963,0.632,255.6
23.5,C,2,24/05/2022,12:05:39,F,55,96,250,963,0.616,249.1
26,A,1,24/05/2022,12:07:14,F,56,176,352,963,0.5,202.2
26,A,2,24/05/2022,12:07:55,F,57,285,528,963,0.46,186.1
26,B,1,24/05/2022,12:09:48,F,58,239,529,963,0.548,221.6
26,B,2,24/05/2022,12:10:27,F,59,115,246,963,0.533,215.6
26,C,1,24/05/2022,12:11:38,F,60,414,798,963,0.481,194.5
26,C,2,24/05/2022,12:12:09,F,61,342,852,963,0.599,242.3
28,A,1,24/05/2022,12:13:45,F,62,153,537,963,0.715,289.2
28,A,2,24/05/2022,12:14:19,F,63,150,512,963,0.707,286
28,B,1,24/05/2022,12:15:08,F,64,221,623,963,0.645,260.9
28,B,2,24/05/2022,12:15:30,F,65,264,631,963,0.582,235.4
28,C,1,24/05/2022,12:16:48,F,66,244,782,963,0.688,278.3
28,C,2,24/05/2022,12:17:20,F,67,152,575,963,0.736,297.7
30,A,1,24/05/2022,12:20:11,F,68,167,462,963,0.639,258.4
30,A,2,24/05/2022,12:21:02,F,69,158,524,963,0.698,282.3
30,B,1,24/05/2022,12:23:12,F,76,189,599,963,0.684,276.7
30,B,2,24/05/2022,12:23:37,F,77,147,310,963,0.526,212.7
30,C,1,24/05/2022,12:24:41,F,78,188,756,963,0.751,303.7
30,C,2,24/05/2022,12:25:02,F,79,202,722,963,0.72,291.2
